;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0;Tres nkn schampoing;0.0;0.0;0.00017099007794250687;0.0;0.0;0.0;0.0;0.0;2.9063436160641857e-05;0.0;5.0499546462412436e-05;4.639666732245777e-05;0.0;0.0002016659027716007;0.0;4.490901072850089e-05;0.00038956232190138693
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.0003573749643425061;0.00012194874142818498;0.00022118903093122476;0.000922440642511605;0.0;0.00017213814397988515;0.0007478991719030288;0.0004023841721683984;0.001174411076661984;0.0;0.0011444682220978285;0.0;0.0;0.0004479470399406937;0.0007988600451428551;0.0;0.0009333114682778332
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.00029643370071748444;0.0;5.570276395757273e-06;0.0030151915234712104;0.0008635561552030116;0.0017128553142107157;0.0008751198533703371;0.0;0.007968179986585147;0.06578789976389514;0.012513107204237683;0.007338821770222841;0.004629245888695675;0.004600736156389182;0.07502180482503713;0.0019268117691372418;0.014878655035291583
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0011856194123328972;0.00022245240949087105;0.05061388355796865;0.006716928645860921;0.0;0.00029025233089121803;0.0027761380888330547;0.054142031286095044;0.0045058044956991904;0.00380374291488645;0.0002400225400248535;0.0014907818679942505;0.0035954143981991884;0.024480660341557714;0.0;0.009363321959463993;0.003481084709281926
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05690101999344831;0.0;0.05711766755215765;0.0;0.0;0.0;0.0;0.017519632947156572;0.06721701575500524;0.003688712848055052;0.0;0.01733412023194662;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.00046477360932101165;0.00016174525661503633;0.0017489694014385276;0.0013186621288287727;0.0;0.0015759885763312422;0.002616584772190264;0.0;0.0011128860589840073;0.0013830528836198024;0.0016208168865025872;0.0;0.0021879957038806984;0.007229614494171726;0.0020676732817205526;0.0029972659967266385;0.015395139020815126
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00017357175093628358;0.0;0.0;0.008109814329856562;0.0002918546522471839;0.0;0.0010189498950128328;0.0;0.0026175707579895913;0.003376786456632612;0.015005263371551747;0.0;0.001509146269477335;0.0;0.0;0.002479969425274942;0.048377260084045554
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0002513923205033109;0.0;0.11679170432439134;0.0022712825136948773;0.0;0.0006292132526805602;0.004004561808294529;0.0;0.0027817537960818815;0.0032952768890152895;0.0;0.002853204148990315;0.0013267356782889225;0.020383654809211258;0.06997559119416985;0.0069418299092153845;0.01079769957542777
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0006683224845423999;0.0;0.009152845996292916;0.018813295089479928;0.0;0.0017491024049462011;0.0;0.001119086982749555;0.0002495533179934247;0.0016487137044007625;0.0012223425195761312;0.0;0.007628623983806084;0.0012918219127522291;0.008276955879954126;0.009520431847348375;0.0006004050383245988
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00014577057759180168;2.7240497082542944e-05;9.810936204424836e-05;0.008313217873384918;0.0;0.0;4.0893533029043785e-05;0.0;7.853403912416162e-05;0.00031597486556793304;0.003375883956030688;0.00014950738545823443;0.0007383597456339816;0.013681170370690988;0.002244904396510823;0.0;0.0031537785590499876
10;N'en reste pas moins une crème super agréable;0.0;0.00025638033055898265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011497888047873612;0.0;0.0;0.00046124662183552254;0.0019366429717222488;0.0007355245085664641;0.0002929516004401104
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.00041432988908945647;0.001171138658763825;0.0020959338442170642;3.1704808490593985e-05;0.0;7.093760285413993e-05;0.0;0.0003679410156208826;0.0007068311669578619;0.0017462793402946261;0.0005060183987101537;1.529057882382584e-05;7.503853918114587e-05;0.001574259414068186;0.005492749847130581;0.0020483496669361436;0.0014358486730863033
12;remplit sa fonction;0.0001931986720447585;0.00013151918557183535;9.955694957395637e-05;0.0012624107932918808;0.000275337256263979;0.0;0.0;0.0009131422296450244;0.0005726076867667875;0.0004416551778137268;0.0018253255416587275;0.0;0.00035232068510182715;3.262255983621724e-06;0.0006662895869508653;0.0;0.00025117352728933957
13;Très bien pour le connaître depuis longtemps;0.0012137263591060095;0.00022623740728974935;0.0;0.0007778869272070815;0.0016176521846222017;0.002206019145279124;0.0;0.0;0.005707259506812935;0.0;0.0;0.0;0.005293254552084477;0.005650305370153682;0.0012244389850824843;0.0009559356924441133;0.01301916169799787
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003681969905572546;0.0003955872455254781;0.0;0.0012488754033051033;0.0006417479890975382;0.0006640653420134133;0.0004504640001513072;0.00021718362194489044;6.511401970306393e-05;0.00019784800697667448;0.0022755544426599017;0.0;0.0006443740143878459;0.00881140052076879;0.0;0.0029442988390440735;0.010709967870119973
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.0002337877713346704;0.0013674548126856212;0.0;0.0005760459310507329;0.0001721725455563444;0.0010578866624443449;0.0009428359702686003;0.004886567096048708;0.0051126952226564215;0.0031613916764209747;0.0056147402631091005;0.0;0.00044856812748043825;0.0038403319227287374;0.06116171887425745;0.0010536199745790377;0.006008151163078095
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005698601485359038;0.0;0.00025860528553964306;0.0004265420428620428;0.0;0.0006045777901005032;0.0011241141725844216;0.0011965610819611;0.0012856066884927516;0.000891152481705521;0.0;0.0027274082534348002;0.0;0.004184894728559219;0.0;0.0;0.0028917723822266157
