;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
0;Tres nkn schampoing;0.0;0.0;0.0001710254794722383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1886184746845303e-05;2.9759352482102822e-05;0.0;9.024598830056662e-05;0.0;0.0001743131513983198;4.136221519059006e-05;0.00016056973102728848;0.00026203504026490174;0.0;0.0;3.706336260701345e-06;7.501144391840333e-05;0.0
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.0003325203429858207;6.989989036225349e-05;0.0001416961285619846;0.000853686248021444;0.0;0.00016065727548859697;0.0007198413121290168;0.0003436963054703778;0.000841500854327514;0.0;0.0005180914377637311;0.0;0.0;0.0;0.0;0.0009046428041591678;0.0;0.0002836446099048872;0.0031775031733055543;0.0;0.0;0.0012072167443502595;0.0;0.0004516485211387045
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.00025965860805349814;0.0;0.0003538783818388909;0.003566773035736333;0.0;0.0014372551005585835;0.0009417575645738757;0.0;0.0047916312634194574;0.06434199369862004;0.0070906473555255485;0.004632748616280722;0.0033708991825924513;0.0006717069228977952;0.05061129287985074;0.0019681106059928396;0.0004699433109501042;0.009393027221985427;0.07157862577950312;3.279256177479744e-05;0.0;0.0;0.0009603654335724583;0.0041095697750510455
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0007521490115007929;3.0851092498749274e-05;0.04860433666431353;0.0;0.0;0.0006577417828066485;0.002592311609857804;0.055287995485355165;0.0028713258199259475;0.0025717429384827122;0.0006691292900103667;0.001283049498137775;0.001114743191120334;0.017544248926914602;0.0;0.006194625695078733;0.004537220777126759;0.0008963005365622805;0.005639004601045203;0.0023515730391778723;0.0;0.07707936519055231;0.0012830309910635874;0.0
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.052590533340356294;0.0;0.0555313838850153;0.0;0.0;0.0;0.0;0.0;0.06833856036691247;0.003123366068294891;0.0;0.014398467998634772;0.0;0.0;0.0;0.0;0.0;0.0;0.007695618256416541;0.0;0.0614994891977899
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0002806731178094903;0.0;0.001512005443982831;0.0009602816176997285;0.0;0.0013334039824675773;0.0021861118355216472;0.0;0.0;0.0007985305497110631;0.0;0.0;0.0009719628037720618;0.0030085584572518524;0.0;0.021549931639342365;0.0007492477243634803;0.0035737208041188304;0.006136168122888025;0.004178947262502432;0.0;0.0;0.0;0.00034947525212020874
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00030007719178683505;0.00010348000245621742;0.0;0.007339709176903316;0.0;0.00016562948489065734;0.0012513530373901081;0.00010705288802782894;0.002865920794053799;0.0035667394868774843;0.013031566069627926;0.0;0.0018723235207630784;0.0;0.002085287906375626;0.0;0.004198948264033127;0.046588047049160634;0.00408599585694643;0.0021085097943307736;0.0;0.008716740890210175;0.0;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;9.99979893530288e-05;0.0;0.1128406552426223;0.002799523882813593;0.0;0.0008886801206006901;0.0020132374006972442;0.0;0.000921088746621893;0.002511891616463316;0.0;0.0015512815380303063;0.0;0.013691213059110759;0.018159199842405164;0.0072015592631059005;0.005150459366121897;0.0;0.018616340731399016;0.0;0.2051507355917465;0.00035510983760274686;0.0;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004754069020421891;0.0007685048117312102;6.175071336436138e-05;0.0013071594022015744;0.0;0.00031959366476612937;0.0;0.0;0.0;0.0;0.001676883288940397;0.0;0.0008439571685192555;0.0;0.0;0.0;0.0;2.4136712120660126e-05;0.0012327802687285493;0.17301173342476445;0.0;0.008214193034382646
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00019008643788877467;0.0;3.4562150478601726e-05;0.007660511886934719;0.0;0.00017227149340202395;1.916358435083983e-06;0.0;0.0;0.0;0.0036480621424444947;0.0;0.0005985820860345024;0.012846270539010248;0.0;0.004321945473059611;0.0;0.000865600373062434;0.005641095826697638;0.0;0.0008103250384161407;0.0033014397154332168;0.0;0.0010194435260052627
10;N'en reste pas moins une crème super agréable;0.0;0.00014175491086968384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00018289389348156307;0.0;0.0;0.0;0.0013379869969315226;0.0008672520694652997;0.0008377143241532989;0.0;0.0;0.002147737726534218;0.0;0.0;0.0;0.0023303340861163704
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0002711459451696589;0.000566840436386051;0.001873512263612991;0.0;0.0;0.0;0.0;0.00037759049332560267;0.000290612936844181;0.0017008950427855048;0.0;0.0;0.0;0.0004327338678901739;0.0005963635899050234;0.005673981668010284;0.0015976237846646558;0.0005414641720153533;0.0016774015046678754;0.00031654223069384706;0.0032941070500027594;0.0;0.000226664623690374;0.006438352554232658
12;remplit sa fonction;0.00016763713373601824;0.0;4.9383573801693536e-05;0.0011856321822689925;0.00023119619667041612;0.0;0.0;0.0009276242064620431;0.0004705118356298191;0.0004373189181922054;0.001252185513105419;0.0;0.00029901153158096215;0.0;0.0;0.0023366317867665144;0.0;0.0;0.00026868492554226836;0.0;0.00047366673239156447;0.0;0.0;0.000616738380450998
13;Très bien pour le connaître depuis longtemps;0.0007125919210423375;0.0;0.0;0.0;0.0009550814513097089;0.0007650247855855402;0.0;0.0;0.0;0.0;0.0;0.0;0.0010693153191107087;0.0;0.0;0.048501151838702745;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001126075037172899
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003413441423498401;0.0;0.0;0.0009300121935884467;0.000521173757870387;0.0005224495175034432;0.00015184240623190875;0.00017080322029214826;9.188738010138473e-05;0.00022957717946124747;0.0017498781098195916;0.0;0.0;0.005085400037940001;0.0;0.015996257810687513;0.0021436819113159157;0.0035380729587645636;0.0002709397617384642;0.0005967490905705877;0.0;0.0013947215736613253;0.0;0.0
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;8.816869574688046e-05;0.0;0.0;0.0007122674244189953;0.0;0.0;0.0003017546535448928;0.004232374777724708;0.0007779401796750846;0.0019512406854617548;0.0034568148635509294;0.0;0.0007432672987639868;0.0;0.0455823942686667;0.041821140909938145;0.00032982002888233016;0.0;0.010371254689345162;0.011804624360679672;0.007276930608720461;0.002072318044902266;0.0;0.0
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005600994897247903;0.0;0.0002682694733992328;0.00042520100114280514;0.0;0.0006305917526968471;0.001069175083619737;0.0012297354191017449;0.001159824870553103;0.0009089025458147194;0.0;0.0027031589339729404;0.0;0.002962577528275434;0.0;0.0019364910364674205;0.0;0.0018624791362229355;0.0012557962383624986;0.001551780683043829;0.0;0.0;0.0;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;8.649906495487031e-05;0.0;0.0003713768278877334;7.977533923755654e-05;0.0;0.0031369337686712713;0.0;0.0;0.00980851828977837;0.0009569051503461089;0.0018778506305980615;0.0;0.00033868602141766315;0.0;0.0;0.0009523468707651412;0.0;0.0;0.0;0.026336025020818454;0.0003975084653669966;0.0;0.0008310466280562262;0.00020509780383216127
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9693755760069457e-128
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007580796940965539;0.05175172448862791;0.0008765678056091843;0.00033412761466646967;0.0013213096501059436;0.000990526910771104;0.0011010851163515533;0.0;0.0;0.0025864643523011216;0.00272282800229155;0.0019246871407471535;0.0;0.002941128986744789;0.0012059596288152865;0.0069545985865721895;0.0;0.01098493149446817;0.0;0.013933950887187263;0.0;0.0005148310963265569;0.002167454252535803;0.0
