;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;Tres nkn schampoing;0.0;0.0;0.00017178102953761847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8782040395510172e-05;2.7874637815956827e-05;0.0;8.170370512170438e-05;0.0;0.000184587282017476;3.736582066215981e-05;0.00014627003169891356;0.00020506318150958296;2.210360569712433e-07;0.0;6.444497368911511e-06;6.770780827916724e-05;0.0;6.201609054870485e-07
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.0003373116727130134;7.436010263906684e-05;0.00014932409258296023;0.0008335108409451707;0.0;0.0001752046720097563;0.0007234226784362524;0.00035988669078642146;0.0008780713289913077;0.0;0.0005120436523660662;0.0;0.0;0.0;0.0;0.00030885185542016413;0.0;0.0003086159479215127;0.0026270136572018447;0.0;0.0;0.0011844319280675585;0.0;0.0006176531176352715;0.0003244405960745556
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.00026651241942224335;0.0;0.0002491301363183971;0.0029727082049477303;0.0;0.0014416692792931303;0.0009923495851316964;0.0;0.005026099112617598;0.06447042949892641;0.006758592523944209;0.004585527233021113;0.003271592578771335;0.0006747045465801722;0.04813284584656617;0.0005643357426284971;0.0005925238797026733;0.008733179380650205;0.057476777749920355;3.311058917231303e-05;0.0;0.0;0.0011341733844414342;0.011345902195039366;0.002705288103866309
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0007019048582292157;4.752777772050732e-05;0.04855791442667954;0.0;0.0;0.0006106946255293159;0.002495531198982229;0.05552724040301529;0.0025614724528499984;0.0024725141434949072;0.0005844658159353884;0.0011725535529821573;0.0010095856133767074;0.016078263252413627;0.0;0.008231616038715793;0.0042267153611769605;0.00039302213126726597;0.004203472114883026;0.002001264500463968;0.0;0.07387946331988354;0.0008531735111382941;0.0;0.0
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05279282306931676;0.0;0.05508357907846343;0.0;0.0;0.0;0.0;0.0;0.06740316148817979;0.0030166280101573853;0.0;0.014073375479154545;0.0;0.0;0.0;0.0;0.0;0.0;0.0071725841792081805;0.0;0.010411171032098866;0.05574655369993198
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.00016947711311919022;0.0;0.00163638686066778;0.001075233572280741;0.0;0.0012412473078528678;0.00206058658203091;0.0;0.0;0.0006960110772077071;0.0;0.0;0.001018887780114595;0.002408245090699579;0.0;0.021102142626833777;0.0004803137392892734;0.0026076361840935676;0.004823004179864707;0.0033744070041269764;0.0;0.0;0.0;0.0006412721730908927;0.001050990980323756
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0003217040873858961;0.00013414408979426008;0.0;0.007575308258502705;0.0;0.00020482008404370175;0.0012687353474987978;0.00013728410216804908;0.0029632803150885924;0.0036436850603021606;0.012494199713787946;0.0;0.001893641380844559;0.0;0.002384165273212426;0.0;0.004253925601251684;0.04318324410563391;0.002789116449184883;0.002055697825817727;0.0;0.008388158273466352;0.0;0.0;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;6.35644195651657e-05;0.0;0.11274595263394305;0.0031019902802871613;0.0;0.0008346691021183102;0.001872756204473835;0.0;0.0005745034434818553;0.0023917437623187216;0.0;0.001391338234942727;0.0;0.012354711447108604;0.017388032683042644;0.009240144056778175;0.004661344017970326;0.0;0.013993309789001844;0.0;0.20631208151550617;0.0012336231806820584;0.0;0.0;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004476373610852492;0.0;0.0;0.0011191003371242973;0.0;0.0005030357211063141;0.0;0.0;0.0;0.0;0.0009173161689325128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16110547095412936;0.0;0.030878002731216787;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00019999743062030768;0.0;0.0;0.007132000139905438;0.0;0.0001664143381625934;1.6180235090859988e-05;0.0;0.0;3.338111915472133e-05;0.0035108342988706886;0.0;0.0006277155708528617;0.011981134810896663;0.0;0.0021623561375247132;0.0;0.000777150182643408;0.004112816485610489;0.0;0.0008357723121391626;0.0029533236101151163;0.0;0.0060562663564265205;0.0006217472765658455
10;N'en reste pas moins une crème super agréable;0.0;0.0001443164500788864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.512070036189337e-05;0.0;0.0;0.0;0.0011422675255254708;0.00035563687325500015;0.0008242552669956054;0.0;0.0;0.001978319644524783;0.0;0.0;0.0;0.001993552349698229;0.0017012238184411683
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0002961142331588805;0.0008912559696675231;0.0019241580650403334;0.00017743788490459103;0.0;0.0;0.0;0.00042676163980498737;0.0005503079782971894;0.0017084071166997617;0.0;5.3656521039159795e-06;0.0;0.0007033180843758413;0.001017852916012419;0.0010733844859455901;0.001851073787446035;0.0006294970752327616;0.0018165687684186967;0.0006566447929607493;0.004213718655858147;0.0002006288938882425;0.0007500743818954731;0.0004320996853692433;0.006657846704770423
12;remplit sa fonction;0.00013406279062015821;0.0;4.7400306693939446e-06;0.0006099831372412321;0.00020039996693345933;0.0;0.0;0.0009640266398118137;0.000368080166589517;0.00041944248545622065;0.000899982274663399;0.0;0.00025058990664646256;0.0;0.0;0.0014463237630343224;0.0;0.0;2.973137763756937e-05;0.0;0.0002892015121784101;0.0;0.0;0.005026583498235394;0.0
13;Très bien pour le connaître depuis longtemps;0.0001696151060685401;0.0;0.0;4.514341347108433e-05;0.0002990136765574486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000297882860956108;0.0;0.0;0.05777213302352385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0026128830706833852
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.00031255301082573915;0.00010753002036254288;0.0;0.0011227161883356354;0.0004627233602632797;0.00044422038814270423;4.9935422006674494e-05;0.00011939170671074409;0.0;0.00018467832083242044;0.0013955755412796813;0.0;0.0;0.004153193613896695;0.0;0.017342403421039616;0.0016660207099688296;0.002278289448532249;0.0001755591126764261;0.0004996298174708842;0.0;0.0011922140130954492;0.0;0.0;0.0
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;9.686323984803459e-05;0.0;0.0;0.0011277615846767468;0.0;0.0;0.00043845261197341697;0.004324394608341179;0.0009326183482824879;0.0019903117623874694;0.0033487986626808044;0.0;0.0007882333353529842;0.0;0.04570261201352434;0.02902538369453218;0.0006054858755253893;0.0;0.008998959246772752;0.011338151544744865;0.010297478910109546;0.0021593180291294045;0.0;0.00437633400970665;0.0
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005446035900317494;0.0;0.00027211743564327725;0.00044894181485101084;0.0;0.0006048481689060498;0.0010371010206864273;0.0012219154715092926;0.0010795959987360182;0.0009047455941343;0.0;0.0026414306251279253;0.0;0.002675492893531593;0.0;0.0024938630506829945;0.0;0.001598414928803047;0.0008622336548328842;0.0013561810853669953;0.0;0.0;0.0;0.0;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;9.76907202175083e-05;0.0;0.0003724457955205739;7.402787652629394e-05;0.0;0.003120703875778406;0.0;0.0;0.00977744260211337;0.0009666401626647889;0.0017779243549154325;0.0;0.00032534908001658294;0.0;0.0;0.00020600204334977266;0.0;0.0;0.0;0.024686575672985062;0.0003729088840769671;0.0;0.0009418725267044105;0.0011557274818785777;0.0004927935721367029
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.172768322752478e-110
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007166758128501787;0.05192590523460554;0.000830234706928824;0.00044493738862041033;0.0012581203425363569;0.0008768343544128746;0.0010231539102723175;0.0;0.0;0.002360618732101853;0.002468192907016833;0.0016785362393264612;0.0;0.002140893897741002;0.0011344420669582261;0.01077438255731418;0.0;0.009095777435549636;0.0;0.012379116277462299;0.0;0.0003613707818933251;0.0015288134163351183;0.0;0.0
