;documents;0;1;2;3;4;5;6;7;8;9
0;Tres nkn schampoing;0.0;0.0;0.0001633166692254926;0.0;0.0;0.0;0.0;0.0;0.00028053554684080484;0.0
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.0003461319964432246;0.000108718448217868;0.00012646638725973623;0.0008418895344879012;0.0;0.00014844732316795424;0.0007827619414775647;0.0003023080463179783;0.002165860279185978;0.0
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.00012554198807706993;0.0;0.0;0.004063584001529433;0.0014452561920053626;0.0009125679557298573;0.0005517732970430219;0.0;0.05376394701931502;0.06343524581778123
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.001275800123109452;0.000299142459112107;0.05045414665431582;0.00651903324661291;0.0;0.0005417722003136742;0.0030733581674949216;0.050714593131403425;0.014985049093105992;0.0038262401032439137
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0011620536861070062;0.0006479507819666878;0.0;0.06037486422240943;0.00301110811821065;0.06057640637485234;0.0;0.0;0.011969941115121506;0.0012371699024986507
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0005053635739266044;0.00022203123725148178;0.0017937026967960892;0.0011373692023767168;0.000403554561894921;0.0017628433326518653;0.002929388889451464;0.0;0.011835892844679754;0.0012136797093443396
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00042748732865487176;0.00012339315005540643;0.0;0.00997158904162188;0.0037959621487535255;0.00014632069343330808;0.0016967530168682551;0.0;0.014655819351272779;0.003728747206995276
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.00014101633891829476;0.0;0.11696453755963404;0.0011087181562968442;0.0;0.00046824448382587356;0.004292669551479521;0.0;0.04631443002061959;0.003386102020516257
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0006431818281718148;0.0;0.008980104487181163;0.020908268817792827;0.0;0.0016017711160947734;0.0;0.0010952840169834864;0.008291417573452553;0.0014215545168946957
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00028726757753128155;0.0001118791386796048;0.0;0.00891672561245773;0.0;9.376399674558031e-05;0.00025519601224004894;0.0;0.007027965427582556;0.0002676888479328823
10;N'en reste pas moins une crème super agréable;0.0;0.00025899865171451355;0.0;0.0;0.0;0.0;0.0;0.0;0.0018391997518294562;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0003937858387547752;0.0011877941504525554;0.0019940675483681803;0.0;0.0;1.1079491744612644e-05;0.0;0.0003505581006555808;0.005316205127524153;0.001642370959050341
12;remplit sa fonction;0.00018826129281273882;0.0001251115509309594;7.408799124868033e-05;0.0013251416404648768;0.0002797145149868859;0.0;0.0;0.0007891594874776908;0.0013803801758575634;0.00042181102652787665
13;Très bien pour le connaître depuis longtemps;0.0011095884727549132;0.00019281226839531826;0.0;0.0001470357593099956;0.0019551646469551298;0.0019457193723580672;0.0;0.0;0.01315611302607333;0.0
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0004931423653655835;0.0006868042403934083;0.0;0.0014460520889289174;0.001180454125103324;0.001000490439498808;0.0006195521112596092;0.00033190032517134275;0.00708822787238621;0.0002570008271862042
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;8.957486866060058e-05;0.0011856356676614365;0.0;0.0016915351250197303;0.0002533071522045326;0.00045341902655738004;0.000806527393304854;0.005868715336825601;0.03535196083439454;0.003604656263330709
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0006632497067617629;2.044035808387227e-05;0.0002592511043854931;0.0003600843303185827;4.231113954316819e-06;0.0008092914607226427;0.0013064421892079972;0.001215966784136537;0.0028380389575760434;0.0008665235161446421
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;2.351879073318708e-06;0.0;5.864202507723346e-05;0.0;0.0;0.004430093279287356;0.0;0.0;0.013468818174037434;0.0006910931854977121
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9113419967923072e-57
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0008741223044189671;0.058428023797509346;0.0008762607539401044;0.0004644064781011294;0.0023963180617800964;0.0015670542305692271;0.0011828411068084744;0.0;0.0042882837171053035;0.003192062336953015
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.0;0.04253906506320914;0.0;0.0;0.0018666697222550301;0.0;0.0;0.0009358150936885855;0.041861346900494464;0.0
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.05581674447904116;0.05517955571609022;0.0;0.0;0.0;0.0005727706061624721;0.00012746010168256602;0.06125476275919971;0.0
23;Bonjour,;0.0007319488167406873;0.0;0.0;8.023786353455296e-05;0.0;0.0;0.0;0.0;0.004215549813691621;0.0
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.00027397340182101207;8.248532510612465e-05;0.0003658664435618044;0.00027196240643748593;0.00023032647373324997;0.0002964810716060901;0.0004954240469215942;0.0;0.010490530853044919;0.0006624791792548732
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;6.741993842186138e-06;0.0;0.0;0.00021029207606431836;0.0013046027228399398;0.0
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;0.0007853402024328297;0.0001730212820114285;0.0021040691505031395;0.014135143423971106;0.00010057508068575093;0.0;0.0;0.0;0.011431103816995561;0.002522114579273282
28;super contente;0.0016253265495863346;0.0;0.006190946642392084;0.0;0.0027225264529287295;0.00021360246336175336;0.0;0.004706400827900843;0.017741906309648153;0.0
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05937338437204546;5.650881660723785e-05;0.0;0.0016401018697060207;0.0042178387798568785;0.0016506972187595005;0.0;0.0;0.017905839107236088;0.0
